"id","title","grade","value"
46,"El lavado de las manos",8,"El lavado de manos con jabón es una de las maneras más efectivas y económicas de prevenir enfermedades diarreicas y respiratorias (como la gripe, la neumonía, la bronquitis, etc."
46,"El lavado de las manos",8,")."
46,"El lavado de las manos",8," Además, con este procedimiento, pueden evitarse las parasitosis (infecciones por parásitos) y algunas infecciones en la piel y los ojos (como la conjuntivitis y el orzuelo)."
57,"Helenita, me muero por ti2",8," Ahora me llevas tú”."
46,"El lavado de las manos",8," Si nuestras manos están sucias y nos tocamos los ojos, la nariz o la boca, podemos contagiarnos de enfermedades tan frecuentes como la gripe."
46,"El lavado de las manos",8,"¿Cómo lavarse las manos? Humedecer las manos con agua."
46,"El lavado de las manos",8,"Aplicar suficiente jabón para cubrir la superficie de ambas manos."
46,"El lavado de las manos",8,"Frotar las palmas de las manos entre sí."
46,"El lavado de las manos",8,"Frotar la palma derecha sobre el dorso de la izquierda entrelazando los dedos, y viceversa."
46,"El lavado de las manos",8,"Frotar palma contra palma, entrelazando los dedos."
46,"El lavado de las manos",8,"Frotar el dorso de los dedos contra la palma de la mano opuesta."
46,"El lavado de las manos",8,"Frotar con un movimiento de rotación el pulgar izquierdo atrapándolo con la palma de la mano derecha, y viceversa."
46,"El lavado de las manos",8,"Frotar la punta de los dedos de la mano derecha contra la palma de la mano izquierda, haciendo un movimiento de rotación, y viceversa."
46,"El lavado de las manos",8,"Enjuagarse las manos con agua."
46,"El lavado de las manos",8,"Secarse con una toalla de un solo uso."
46,"El lavado de las manos",8,"Utilice la toalla para cerrar el grifo."
46,"El lavado de las manos",8,"Las manos ya son seguras."
46,"El lavado de las manos",8,"Libro 1."
46,"El lavado de las manos",8,"indb 5 ¿Cuándo debes lavarte las manos?."
46,"El lavado de las manos",8,"Datos interesantes • Antes y después de manipular alimentos o amamantar."
46,"El lavado de las manos",8," • Antes de comer o beber y después de manipular basura o desperdicios."
46,"El lavado de las manos",8," • Después de tocar alimentos crudos y antes de tocar alimentos cocidos."
46,"El lavado de las manos",8," • Después de ir al baño y luego de cambiarle los pañales al bebé."
46,"El lavado de las manos",8," • Después de sonarse la nariz, toser o estornudar."
46,"El lavado de las manos",8," • Luego de haber tocado objetos como dinero, llaves, pasamanos, etc."
46,"El lavado de las manos",8," • Cuando se llega a la casa de la calle, del trabajo y de la escuela."
46,"El lavado de las manos",8," • Antes y después de curar heridas o de atender a alguien que está enfermo."
